Feature,Importance
cum_gpa,0.4477176845004363
Zterm_units_ZofZ,0.12271524196419897
TotalSleepTime,0.11615393567481251
midpoint_sleep,0.07599684730030004
bedtime_mssd,0.07477104395774786
daytime_sleep,0.0742382408468088
frac_nights_with_data,0.047508423653000835
demo_race,0.019634164908330178
demo_gender,0.010774337571046563
demo_firstgen,0.01049007962331786
